"Boys Names in Ireland with 3 or More Occurrences (Number) by Name and"
"Year"

"Ronan",70,81,97,98,132,137,138,188,201,203,203,232,212,244,248,277,356,331,281,271,239,232,213,220,184,182,159,136,132,148,138,195,167,164,200,191,225,180,187,167,143,131
"Andrew",195,236,250,234,250,226,232,294,251,259,274,279,267,318,366,411,359,394,456,377,381,422,398,384,326,413,388,429,421,358,347,375,316,182,189,192,159,139,140,151,143,137
"Kevin",452,469,446,379,476,473,449,519,462,471,523,465,474,522,496,529,568,590,596,637,630,577,639,583,498,571,535,479,491,454,430,362,357,159,179,152,175,120,143,112,108,98
"William",875,1000,817,849,752,730,739,698,677,582,637,538,540,497,458,457,541,487,478,455,428,398,383,369,254,325,252,259,241,195,201,240,217,149,179,181,166,190,190,169,195,165
"Ethan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8,34,27,36,27,28,19,38,39,139,176,170,200,272,253,268,211,234
"Tadhg",..,4,..,4,..,8,5,5,5,9,8,10,7,11,9,20,15,17,14,19,34,27,21,23,29,32,32,39,31,38,43,46,39,122,170,192,206,221,232,224,166,177
"Rory",56,43,56,58,65,78,68,88,94,92,79,102,103,130,125,117,115,124,155,106,117,110,104,96,85,101,91,83,85,76,78,82,99,170,169,172,172,155,159,200,126,124
"Noah",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5,11,158,163,181,211,315,333,390,418,434
"Calum",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4,5,5,10,14,14,179,159,128,82,78,89,59,35,31
"Brian",464,585,597,616,631,678,651,736,684,692,688,726,812,865,857,895,944,907,835,747,728,689,668,545,489,510,427,377,379,360,349,329,315,145,156,172,113,98,88,90,81,70
"Eoghan",9,7,10,13,13,13,9,36,35,46,37,44,57,53,61,55,75,63,84,72,70,79,90,89,111,120,121,119,127,117,148,137,164,149,154,179,223,160,164,166,132,142
"Cormac",39,41,41,50,53,64,76,82,86,95,79,90,83,70,83,111,104,83,99,70,86,74,88,64,79,90,88,110,98,99,129,126,114,185,153,167,159,139,141,116,115,102
"Finn",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4,..,..,..,3,3,3,5,5,7,3,5,8,11,12,116,150,172,187,191,242,218,246,224
